accession	species	functional_seqs	pseudogene_seqs	functional_bytes	pseudogene_bytes
GCA_000972845.2	Larimichthys crocea	286	237	403200	146810
GCA_031216445.1	Lateolabrax maculatus	373	114	471888	87775
GCA_001640805.2	Lates calcarifer	485	227	627085	194097
GCA_040954835.1	Lepisosteus oculatus	495	153	733155	104630
GCA_024633595.2	Lepomis macrochirus	360	144	443807	110803
GCA_045362495.1	Lethrinus nebulosus	1141	202	1495871	145229
GCA_054198415.1	Maccullochella peelii	218	59	323784	33531
GCA_013368585.1	Megalops cyprinoides	343	68	426128	46127
GCA_051201485.1	Monocentris japonica	193	69	253029	52257
GCA_049864055.1	Mylopharyngodon piceus	414	118	580247	79368
GCA_977012325.1	Myoxocephalus scorpius	240	78	318557	59817
GCA_902150065.1	Myripristis murdjan	259	68	345251	50295
GCA_056152175.1	Neolamprologus caudopunctatus	306	126	443360	106081
GCA_963576455.2	Neolamprologus multifasciatus	284	129	419631	105038
GCA_056152065.1	Neolamprologus tetracanthus	335	123	483804	98330
GCA_014281875.1	Nibea albiflora	340	171	430725	181048
GCA_053525255.1	Notothenia angustata	327	120	453143	80350
GCA_002021735.2	Oncorhynchus kisutch	212	172	299012	112193
GCA_013265735.3	Oncorhynchus mykiss	232	153	330206	97495
GCA_001858045.3	Oreochromis niloticus	431	137	591855	104310
GCA_015052225.1	Oreochromis tanganicae	215	262	272338	183589
GCA_053564925.1	Oryzias latipes	177	55	238651	37114
GCA_040436345.1	Pagrus major	477	122	712562	97706
GCA_057375095.1	Parabramis pekinensis	412	107	561697	83388
GCA_024713975.2	Paralichthys olivaceus	164	34	206384	21865
GCA_004354835.1	Perca flavescens	366	160	486377	83426
GCA_051167445.1	Perissodus microlepis	283	129	410416	110985
GCA_056915255.1	Piaractus brachypomus	728	177	1059846	161325
GCA_040208305.1	Piaractus mesopotamicus	723	189	1055631	167120
GCA_040144785.1	Plagiognathops microlepis	338	95	468158	59893
GCA_949316205.1	Platichthys flesus	174	60	235530	37191
GCA_904066995.2	Poecilia reticulata	247	55	356410	35944
GCA_016835505.1	Polypterus senegalus	1287	742	1636680	562193
GCA_051314325.1	Pseudopleuronectes yokohamae	238	66	332178	45464
GCA_015107015.1	Pseudosimochromis babaulti	146	192	196667	139110
GCA_015220715.1	Pygocentrus nattereri	541	153	788411	116880
GCA_047275855.1	Rhabdosargus sarba	424	106	630649	78073
GCA_039654625.1	Rhinogobio ventralis	190	130	290807	92530
GCA_965601325.1	Salmo salar	230	205	317119	122111
GCA_045679555.1	Salvelinus alpinus	197	157	282735	97806
GCA_046562855.1	Sarotherodon galilaeus	411	142	558226	110802
GCA_020382885.1	Scatophagus argus	366	66	560055	55613
GCA_038419695.1	Scomberomorus guttatus	243	74	323591	50037
GCA_022379125.1	Scophthalmus maximus	165	40	208837	32003
GCA_900408965.1	Simochromis diagramma	320	147	464691	105307
GCA_049830015.1	Sinocyclocheilus jii	290	225	430214	173302
GCA_958295425.1	Solea solea	472	108	792503	128351
GCA_046118805.1	Squaliobarbus curriculus	407	106	589039	71814
GCA_910596095.1	Thunnus maccoyii	253	80	327292	53046
GCA_963924715.1	Thunnus thynnus	256	83	328110	54144
GCA_017976425.1	Toxotes jaculatrix	329	69	450528	44907
GCA_045865225.1	Trachurus japonicus	390	87	461191	71778
GCA_902810505.1	Tropheus moorii	295	264	428882	203849
GCA_046562865.1	Xenocypris argentea	324	90	455906	59945
GCA_003331165.2	Xiphophorus hellerii	267	88	369334	49416
GCA_002775205.2	Xiphophorus maculatus	247	67	349789	51296
GCA_038088235.1	Zacco platypus	254	82	355847	60985
